character,actual,predicted
Cor_CITIZENS.ROMAN.7,m,m
Cor_CITIZENS.ROMAN.8,m,m
Cor_CITIZENS.VOLSCIAN,m,f
Cor_CONSPIRATORS,m,m
Cor_CONSPIRATORS.0.1,m,f
Cor_CONSPIRATORS.0.2,m,m
Cor_CONSPIRATORS.0.3,m,m
Cor_Cominius,m,f
Cor_Coriolanus,m,f
Cor_Gentlewoman,f,m
Cor_Herald,m,m
Cor_LORDS.VOLSCIAN,m,f
Cor_LORDS.VOLSCIAN.0.1,m,f
Cor_LORDS.VOLSCIAN.0.2,m,f
Cor_LORDS.VOLSCIAN.0.3,m,f
Cor_Lartius,m,f
Cor_MESSENGERS.TRIBUNES.1,m,m
Cor_MESSENGERS.TRIBUNES.2,m,m
Cor_MESSENGERS.X.1,m,m
Cor_MESSENGERS.X.2,m,f
Cor_MESSENGERS.X.3,m,m
Cor_MESSENGERS.X.4,m,m
Cor_Menenius,m,f
Cor_NOBLES.0.1,m,f
Cor_Nicanor,m,m
Cor_OFFICERS.1,m,m
Cor_OFFICERS.2,m,m
Cor_SENATORS.ROMAN,m,f
Cor_SENATORS.ROMAN.0.1,m,m
Cor_SENATORS.ROMAN.0.2,m,m
Cor_SENATORS.VOLSCIAN,m,m
Cor_SENATORS.VOLSCIAN.0.1,m,m
Cor_SENATORS.VOLSCIAN.0.2,m,m
Cor_SERVANTS.1,m,f
Cor_SERVANTS.2,m,m
Cor_SERVANTS.3,m,m
Cor_SOLDIERS.ROMAN,m,m
Cor_SOLDIERS.ROMAN.0.1,m,m
Cor_SOLDIERS.ROMAN.0.2,m,m
Cor_SOLDIERS.ROMAN.0.3,m,m
Cor_SOLDIERS.ROMAN.Lieutenant,m,m
Cor_SOLDIERS.VOLSCIAN.0.1,m,f
Cor_SOLDIERS.VOLSCIAN.Lieutenant,m,m
Cor_TRIBUNES.Brutus,m,m
Cor_TRIBUNES.Sicinius,m,m
Cor_Valeria,f,f
Cor_Virgilia,f,f
Cor_Volumnia,f,f
Cor_WATCHMEN.1,m,f
Cor_WATCHMEN.2,m,f
Cor_YoungMartius,m,f
Cym_ATTENDANTS.0.1,m,m
Cym_ATTENDANTS.0.2,m,f
Cym_ATTENDANTS.1,m,m
Cym_ATTENDANTS.2,m,f
Cym_ATTENDANTS.3,m,m
Cym_ATTENDANTS.CLOTEN.1,m,m
Cym_ATTENDANTS.CLOTEN.2,m,m
Cym_Arviragus,m,f
Cym_Belarius,m,f
Cym_Cloten,m,m
Cym_Cornelius,m,m
Cym_Cymbeline,m,f
Cym_Frenchman,m,f
Cym_GHOSTS.BROTHERS.1,m,f
Cym_GHOSTS.BROTHERS.2,m,m
Cym_GHOSTS.Father,m,m
Cym_GHOSTS.Mother,m,f
Cym_Guiderius,m,f
Cym_Iachimo,m,f
Cym_Imogen,f,f
Cym_JAILERS.1,m,f
Cym_JAILERS.2,m,m
Cym_Jupiter,m,m
Cym_LADIES.IMOGEN,f,f
Cym_LADIES.QUEEN,f,f
Cym_LADIES.QUEEN.0.1,f,f
Cym_Lucius,m,f
Cym_MESSENGERS.1,m,m
Cym_MESSENGERS.2,m,m
Cym_MUSICIANS,m,f
Cym_Philario,m,m
Cym_Pisanio,m,f
Cym_Posthumus,m,f
Cym_Queen,f,m
Cym_SENATORS.1,m,m
Cym_SENATORS.2,m,m
Cym_SOLDIERS.BRITON.0.1,m,m
Cym_SOLDIERS.BRITON.0.2,m,m
Cym_SOLDIERS.ROMAN.0.1,m,m
Cym_Soothsayer,m,m
Cym_TRIBUNES.0.1,m,m
Err_Abbess,f,m
Err_Adriana,f,f
Err_Angelo,m,f
Err_AntipholusOfEphesus,m,f
Err_AntipholusOfSyracuse,m,f
Err_Balthasar,m,m
Err_Courtesan,f,f
Err_DromioOfEphesus,m,f
Err_DromioOfSyracuse,m,m
Err_Duke,m,f
Err_Egeon,m,f
Err_Luce,f,f
Err_Luciana,f,f
Err_Merchant1,m,f
Err_Merchant2,m,f
Err_Messenger,m,f
Err_OFFICERS.Jailer,m,f
Err_OFFICERS.X,m,f
Err_Pinch,m,m
H5_AMBASSADORS.0.1,m,m
H5_ATTENDANTS.ENGLISH,m,m
H5_Alice,f,m
H5_Bardolph,m,m
H5_Bedford,m,f
H5_BishopOfCanterbury,m,m
H5_BishopOfEly,m,m
H5_Bourbon,m,m
H5_Boy,m,f
H5_Brittany,m,f
H5_Burgundy,m,m
H5_Cambridge,m,m
H5_Chorus,m,m
H5_Constable,m,m
H5_Dauphin,m,m
H5_Erpingham,m,f
H5_Exeter,m,m
H5_Fluellen,m,m
H5_Gloucester,m,f
H5_Governor,m,m
H5_Gower,m,m
H5_Grandpre,m,f
H5_Grey,m,m
H5_HERALDS.1,m,m
H5_HenryV,m,m
H5_Jamy,m,f
H5_Katherine,f,m
H5_KingOfFrance,m,m
H5_MESSENGERS.X.1,m,m
H5_MESSENGERS.X.2,m,m
H5_MESSENGERS.X.3,m,m
H5_MacMorris,m,f
H5_MistressQuickly,f,f
