name,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
AYL_Corin,34,64,151,32,14,44,32,50,31,81,60,23,2,8,46
AYL_Dennis,0,2,3,3,0,0,1,1,0,1,3,1,0,0,3
AYL_DukeFrederick,37,36,128,28,29,41,40,48,26,107,57,11,0,6,38
AYL_DukeSenior,31,81,223,55,28,61,87,57,27,151,94,29,3,20,59
AYL_Hymen,9,9,31,8,3,5,14,12,7,29,10,5,2,5,17
AYL_Jaques,88,163,480,106,37,159,155,114,78,319,200,62,8,27,146
AYL_LORDS.FREDERICK.0.1,1,2,11,2,1,1,5,6,3,4,5,0,0,0,0
AYL_LORDS.FREDERICK.0.2,4,5,20,7,1,1,8,4,4,12,9,3,1,2,4
AYL_LORDS.FREDERICK.LeBeau,18,32,109,26,4,19,31,42,18,68,37,12,1,6,40
AYL_LORDS.SENIOR,0,2,15,1,0,1,3,5,0,7,9,1,0,0,3
AYL_LORDS.SENIOR.0.1,12,33,114,21,7,19,31,23,13,63,44,12,0,9,27
AYL_LORDS.SENIOR.0.2,3,5,21,3,0,2,8,7,0,18,12,2,0,0,4
AYL_LORDS.SENIOR.Amiens,22,21,62,11,5,23,20,23,7,54,42,28,1,3,19
AYL_Oliver,67,92,302,58,33,97,114,89,53,227,112,55,7,21,91
AYL_OliverMartext,1,2,10,4,2,1,4,1,1,7,5,1,0,1,2
AYL_Orlando,146,195,613,141,50,276,207,164,88,406,264,104,8,55,171
AYL_Phoebe,47,65,126,37,28,93,58,41,19,125,75,18,3,12,40
AYL_Rosalind,338,535,1403,339,147,512,497,409,265,913,595,252,7,150,486
AYL_SERVANTS.1,7,10,62,8,6,15,10,14,16,57,25,14,1,1,7
AYL_SERVANTS.2,4,7,61,5,3,14,6,12,17,53,20,14,0,1,7
AYL_SecondBrother,3,11,32,7,3,9,16,15,5,29,13,5,0,3,12
AYL_Silvius,40,55,125,25,19,51,39,37,22,75,78,36,0,5,39
AYL_Touchstone,146,205,622,159,55,197,246,195,95,430,249,98,7,50,144
AYL_William,2,2,4,1,0,4,3,10,2,4,5,3,0,2,4
